ID_ATIV_ECON_ESTABELECIMENTO,DESCRICAO_CNAE_PRINCIPAL,DATA_INICIO_ATIVIDADE,IND_POSSUI_ALVARA,NOME_LOGRADOURO,NUMERO_IMOVEL,COMPLEMENTO,NOME_BAIRRO,NOME,NOME_FANTASIA,GEOMETRIA,CDB2025_Participante
60576,RESTAURANTES E SIMILARES,14-09-2011,SIM,RAJA GABAGLIA,2664,TERREO1 SUBSL 1,ESTORIL,MELO SILVA ENGENHARIA E ALIMENTOS LTDA,TOSCANINI CAFE,POINT (-43.957589539574805 -19.959326303204527),Não
60838,RESTAURANTES E SIMILARES,25-09-2011,NÃO,DOUTOR JOAO MIRANDA,188,APT 201,DONA CLARA,EMANUELLA LARISSA VALADARES LIPARIZI 07264033694,,POINT (-43.93594347667403 -19.86139906004361),Não
60855,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",26-09-2011,NÃO,CATALUNHA,443,,SANTA TEREZINHA,MAURILO JOSE DUTRA FILHO 00490044689,,POINT (-44.007704043524015 -19.870999988251892),Não
61076,RESTAURANTES E SIMILARES,03-10-2011,NÃO,OIAPOQUE,221,"LOJA A 13 ,ANDAR 3:",CENTRO,VANESSA FERREIRA DE PAULA 06002963693,,POINT (-43.93964435519542 -19.91380720658739),Não
60310,RESTAURANTES E SIMILARES,02-09-2011,NÃO,JOSE CLETO,901,"LOJA,",SANTA CRUZ,CANTINA DA TIA ZITA LTDA,TITIA ZITA,POINT (-43.939125505985245 -19.87368687014501),Não
61150,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",05-10-2011,NÃO,ALABASTRO,345,LOJA C,SAGRADA FAMILIA,ADENILSON JOSE APARECIDO VIEIRA 04589142660,,POINT (-43.92062649011467 -19.909325105162626),Não
59410,RESTAURANTES E SIMILARES,08-02-1971,SIM,DA BAHIA,615,LOJA 17,CENTRO,BAR E RESTAURANTE FORTUNA DE MINAS LTDA,,POINT (-43.93611547450261 -19.920390046520822),Não
59051,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",01-11-1978,SIM,DOS GUARANIS,600,,CENTRO,EGIDIO MARTINS MONTEIRO,BAR DO GIL,POINT (-43.94357089852259 -19.920173014294456),Não
59427,RESTAURANTES E SIMILARES,01-02-1957,NÃO,DA BAHIA,1403,LOJA A,LOURDES,BAR E RESTAURANTE CHANTECLER LTDA,,POINT (-43.938009802082625 -19.92732388075791),Não
59755,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",26-06-1980,SIM,AUGUSTO DOS ANJOS,743,LOJA,RIO BRANCO,BAR RECANTO DA AMIZADE LTDA,BAR RECANTO DA AMIZADE,POINT (-43.98116611262416 -19.819278359627265),Não
59067,RESTAURANTES E SIMILARES,01-11-1978,SIM,AUGUSTO DE LIMA,744,LOJA 167,CENTRO,BAR E RESTAURANTE CASA CHEIA LTDA,CASA CHEIA,POINT (-43.9433329041324 -19.923021512307454),Não
59074,RESTAURANTES E SIMILARES,30-12-2024,NÃO,WILSON ROCHA LIMA,80,,SANTA LUCIA,REDE PAULO DE TARSO,SUNTOR RESTAURANTE & CAFETERIA,POINT (-43.955498044078354 -19.97036531706115),Não
59449,RESTAURANTES E SIMILARES,15-09-1979,SIM,GUARAPARI,1166,LETRA A,SANTA AMELIA,CHURRASCARIA SANTA AMELIA LTDA,CHURRASCARIA SANTA AMELIA,POINT (-43.97506485867495 -19.83612952537774),Não
59451,RESTAURANTES E SIMILARES,01-04-1981,SIM,CRISTIANO MACHADO,5480,,SAO PAULO,BAR E RESTAURANTE PENA VERDE LTDA,,POINT (-43.92768997298116 -19.86720827675078),Não
59777,RESTAURANTES E SIMILARES,08-03-1982,NÃO,DOS AIMORES,1065,,BOA VIAGEM,LANCHES TROPPO BUONO LTDA,,POINT (-43.934327690335465 -19.929412998467594),Não
59095,RESTAURANTES E SIMILARES,02-01-1978,SIM,ESMERALDA,604,,PRADO,GUT BAR LTDA,,POINT (-43.96241073699424 -19.92845668220314),Não
59463,RESTAURANTES E SIMILARES,02-05-1977,SIM,LAGOA DA PRATA,480,,SALGADO FILHO,MESSIAS BAR LTDA,,POINT (-43.98295053489047 -19.93991226469944),Não
59465,RESTAURANTES E SIMILARES,01-07-1977,NÃO,OLEGARIO MACIEL,714,BOX 107,CENTRO,BAR E RESTAURANTE BOM DIA LTDA,RESTAURANTE DO ZEQUINHA,POINT (-43.94481648423497 -19.92088220515469),Não
59470,RESTAURANTES E SIMILARES,01-11-1977,SIM,ICANA,33,,NOVA SUISSA,LANCHONETE E MERCEARIA JEQUITINHONHA LTDA,,POINT (-43.97731912426762 -19.936201886922643),Não
59476,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",02-01-1962,SIM,JACUI,463,,COLEGIO BATISTA,BAR ROSICLE LTDA,BAR ROSICLE,POINT (-43.93239304204205 -19.90913535380171),Não
59797,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",02-04-1982,SIM,CONSELHEIRO DANTAS,6,,CALAFATE,JOSE CARLOS DE SA MENEZES E CIA LIMITADA,BAR DA PRACA,POINT (-43.9680150836206 -19.923419691252302),Não
59485,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",16-09-1964,NÃO,PENAFIEL,186,,ANCHIETA,BAR E CAFE SANDRA LTDA,BAR E CAFE SANDRA LTDA,POINT (-43.92744104400057 -19.949758699726694),Não
59958,RESTAURANTES E SIMILARES,23-08-2011,NÃO,OLINTO MEIRELES,316,,BARREIRO,LELIA ALVES PEREIRA MARTINS,,POINT (-44.01330392077904 -19.974003460141184),Não
59148,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",08-06-1977,SIM,ELISIO DE BRITO,205,,BOA VISTA,BAR SO LAZARO LTDA,,POINT (-43.906247369145134 -19.89606231164094),Não
59150,RESTAURANTES E SIMILARES,15-08-1979,NÃO,SAO MATIAS,143,,SAO SALVADOR,SORVETERIA TEIXEIRA LTDA,,POINT (-44.013552709486994 -19.890615698966748),Não
59508,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",01-11-1980,NÃO,CAMPO FORMOSO,166,,SALGADO FILHO,BAR CAMPO FORMOSO LTDA,,POINT (-43.98594653762878 -19.946879887365288),Não
59517,RESTAURANTES E SIMILARES,24-08-1981,NÃO,ALAGOAS,763,,SAVASSI,CHL LIMITADA,,POINT (-43.93566950802884 -19.93388939152108),Não
59870,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",22-08-2011,SIM,OLEGARIO MACIEL,474,"LOJA: B,",CENTRO,GULU BAR E RESTAURANTE LTDA,,POINT (-43.944145496557276 -19.918440330509306),Não
58856,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",01-10-1969,NÃO,ELISIO DE BRITO,395,,BOA VISTA,JAIME BOTELHO DE LIMA,,POINT (-43.90439370249114 -19.89565632860742),Não
58858,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",01-01-1955,SIM,DOS TAMOIOS,499,,CENTRO,BAR E CAFE BEIRUTE LTDA,,POINT (-43.94109716241663 -19.919914789158064),Não
58861,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",01-03-1973,SIM,AUGUSTO DE LIMA,744,LOJA 115,CENTRO,LUMAPA BAR LTDA,BAR DA LORA,POINT (-43.9433329041324 -19.923021512307454),Não
58872,RESTAURANTES E SIMILARES,10-12-1971,SIM,OLEGARIO MACIEL,2280,,SANTO AGOSTINHO,PIZZARELLA LTDA,PIZZARELLA,POINT (-43.94839554356788 -19.933990192814523),Não
59203,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",01-07-1980,SIM,PADRE EUSTAQUIO,2494,"LOJA: 00,",PADRE EUSTAQUIO,BOLA BAR LTDA,BOLA BAR,POINT (-43.97632109382962 -19.91494519576864),Não
59209,RESTAURANTES E SIMILARES,20-07-1980,SIM,PINHEIRO CHAGAS,406,,BARREIRO,BAR E RESTAURANTE TRUPICO MINEIRO LTDA,,POINT (-44.01277762307614 -19.980631905132242),Não
58889,RESTAURANTES E SIMILARES,29-10-2012,SIM,PROFESSOR ALFREDO BALENA,190,"SETOR: RU SAUDE,",SANTA EFIGENIA,FUNDACAO UNIVERSITARIA MENDES PIMENTEL,RESTAURANTE CAMPUS SAUDE,POINT (-43.92931526864852 -19.925156496127986),Não
58890,RESTAURANTES E SIMILARES,29-10-2012,SIM,ALVARES CABRAL,211,"SUBSL: RU DIREITO,",CENTRO,FUNDACAO UNIVERSITARIA MENDES PIMENTEL,RESTAURANTE FACULDADE DE DIREITO,POINT (-43.93679771791283 -19.925545754693985),Não
58892,RESTAURANTES E SIMILARES,29-10-2012,NÃO,PRESIDENTE ANTONIO CARLOS,6627,"SETOR: RU SETORIAL II,",CAMPUS UFMG,FUNDACAO UNIVERSITARIA MENDES PIMENTEL,RESTAURANTE CAMPUS PAMPULHA-SETORIAL II,POINT (-43.957198900009956 -19.866002047756183),Não
58893,RESTAURANTES E SIMILARES,29-10-2012,NÃO,PRESIDENTE ANTONIO CARLOS,6627,"SETOR: RU SETORIAL I,",CAMPUS UFMG,FUNDACAO UNIVERSITARIA MENDES PIMENTEL,RESTAURANTE CAMPUS PAMPULHA-SETORIAL I,POINT (-43.957198900009956 -19.866002047756183),Não
59218,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",11-09-1980,SIM,CURITIBA,1022,LOJA 106,CENTRO,BAR E LANCHONETE ARUAQUES LTDA,,POINT (-43.9421492992272 -19.921567696304372),Não
59223,RESTAURANTES E SIMILARES,01-10-1980,SIM,DA BAHIA,1172,,CENTRO,RESTAURANTE MARGHERITA LTDA,,POINT (-43.93764043643935 -19.925208526287758),Não
59229,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",01-08-1980,SIM,JERUSALEM,10,,GLORIA,MANOEL MAURO SALES,,POINT (-44.010882787923066 -19.895787135931805),Não
59591,RESTAURANTES E SIMILARES,01-02-1981,NÃO,ANEL RODOVIARIO CELSO MELLO AZEVEDO,1195,,JOAO PINHEIRO,RESTAURANTE XICO DA KAFUA LTDA,,POINT (-44.0028500551286 -19.92265647529954),Sim
59934,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",23-08-2011,NÃO,BIAS FORTES,1411,LOJA,BARRO PRETO,14.170.992 JADEM MAXIMILIANO MARTINS,,POINT (-43.94586500598187 -19.921905561224605),Não
58900,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",26-12-1966,SIM,ELISIO DE BRITO,409,,BOA VISTA,BAR MARAJO LTDA,,POINT (-43.904079121542324 -19.89559123345768),Não
58937,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",14-09-1967,SIM,RAUL MENDES,151,LOJA C,FLORESTA,WAGNER RONALDO GOMES DE ARAUJO,BAR E CAFE GARAPA,POINT (-43.9259219299003 -19.91522177524634),Não
59626,RESTAURANTES E SIMILARES,01-10-1981,SIM,CORONEL PEDRO PAULO PENIDO,495,,CIDADE NOVA,DRUIDA LANCHES LTDA,,POINT (-43.92610057788853 -19.887736858831975),Não
59301,RESTAURANTES E SIMILARES,12-05-1969,SIM,DOS TUPIS,871,LJ.,CENTRO,BAR E RESTAURANTE RIO NOVO LTDA,,POINT (-43.94497444999351 -19.92027098177353),Não
59306,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",01-03-1979,NÃO,CACONDE,71,,NOVA FLORESTA,BAR NUNES E BRAGA LTDA,,POINT (-43.93272041231097 -19.891169079197496),Não
59643,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",10-02-1979,SIM,SANTA TEREZINHA,770,LOJA 02,SANTA TEREZINHA,BAR DO BIDU LTDA,ZE DO ESPETO,POINT (-44.00258944835665 -19.871290660917815),Não
58629,RESTAURANTES E SIMILARES,01-12-1976,NÃO,RIO DE JANEIRO,630,LOJA 47 48 49 E 50,CENTRO,BAR RESTAURANTE E PIZZARIA FORMULA 1 LTDA,,POINT (-43.93893295927825 -19.919830595476924),Não
58642,RESTAURANTES E SIMILARES,29-05-1962,NÃO,GERALDO TEIXEIRA DA COSTA,212,E 216,FLORESTA,BAR E RESTAURANTE ITATIAIA LTDA,,POINT (-43.93195128415826 -19.919739908798714),Não
58963,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",24-04-1963,NÃO,DOS TUPIS,369,,CENTRO,GRUTA MARA LTDA,,POINT (-43.94042214149996 -19.9213854636262),Não
59323,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",01-01-1968,SIM,AUGUSTO DE LIMA,744,LOJA 9 E 10,CENTRO,BAR FORTALEZA LTDA,,POINT (-43.9433329041324 -19.923021512307454),Não
58654,RESTAURANTES E SIMILARES,01-05-1952,NÃO,DO OURO,895,,SERRA,BAR DO SALOMAO E IRMA LTDA,BAR DO SALOMAO,POINT (-43.919948516851996 -19.938845379518664),Não
58656,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",08-08-1966,SIM,NIQUEL,246,LOJA,SERRA,BAR AUAD LTDA,,POINT (-43.91721182535735 -19.942212425361696),Não
58991,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",10-10-1974,SIM,CARMO DA MATA,644,,SAUDADE,BAR E MERCEARIA MOREIRA LTDA,,POINT (-43.897885991250384 -19.915293188830418),Não
59345,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",06-02-1962,SIM,MONTE VERDE,213,,SAO SALVADOR,CHOPPLANDIA LTDA,DISTRIBUIDORA DE BEBIDAS CHOPPLANDIA,POINT (-44.01323336172009 -19.891343928246336),Não
59695,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",03-11-1981,SIM,PARACATU,905,,BARRO PRETO,LANCHONETE PARACATU LTDA,,POINT (-43.95279637158465 -19.92591161829151),Não
59697,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",01-09-1981,SIM,AUGUSTO DE LIMA,744,LOJA 1004,CENTRO,JILO TRADICAO MC LTDA,BAR DA TIA,POINT (-43.9433329041324 -19.923021512307454),Não
59009,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",01-10-1977,SIM,AUGUSTO DE LIMA,1288,A,BARRO PRETO,RIBAS LANCHES LTDA,,POINT (-43.94854428627947 -19.921744782281966),Não
59363,RESTAURANTES E SIMILARES,20-06-1972,SIM,DOS GUARANIS,560,,CENTRO,TOP LANCHES LTDA,,POINT (-43.94346174085487 -19.919792961545884),Não
59365,RESTAURANTES E SIMILARES,16-09-1955,SIM,DOS TUPINAMBAS,638,,CENTRO,CAFE PALHARES LTDA,CAFE PALHARES,POINT (-43.94005764953632 -19.91737429657036),Sim
59724,RESTAURANTES E SIMILARES,15-10-1981,SIM,DOS ASTECAS,2670,,SANTA MONICA,PIZZARIA OPCAO LTDA,PIZZARIA OPCAO,POINT (-43.98040861792713 -19.826820520494532),Não
59376,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",15-10-1979,NÃO,AUGUSTO DE LIMA,744,"LOJA: 608, SETOR: ALVENARIA 02,",CENTRO,BAR E CAFE SAO JUDAS LTDA,,POINT (-43.9433329041324 -19.923021512307454),Não
59377,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",15-04-2015,NÃO,AUGUSTO DE LIMA,744,"LOJA: 609, SETOR: ALVENARIA 02,",CENTRO,BAR E CAFE SAO JUDAS LTDA,,POINT (-43.9433329041324 -19.923021512307454),Não
59379,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",13-10-1976,SIM,FLORIDA,15,,SION,BAR DO ANTONIO LIMITADA,BAR DO ANTONIO,POINT (-43.934021348833085 -19.94848482935099),Não
59380,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",22-08-2006,NÃO,FLORIDA,31,,SION,BAR DO ANTONIO LIMITADA,,POINT (-43.93382696435788 -19.94853173140794),Não
70403,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",01-10-2012,NÃO,TALES,30,,NAZARE,JOSE EDUARDO AVELINO DA CRUZ 22274685649,,POINT (-43.898565900417786 -19.84896216707632),Não
71002,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",19-10-2012,NÃO,BOLIVAR,263,LOJA,UNIAO,ROSILENE JULIA PINTO 88275671604,,POINT (-43.923978593442044 -19.88029400389064),Não
71012,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",20-10-2012,NÃO,DAS PERPETUAS,135,,LINDEIA,EDNEI GUERCY NESTOR 05773188619,,POINT (-44.04759424498179 -19.974811452307605),Não
71019,RESTAURANTES E SIMILARES,21-10-2012,NÃO,JOSE AMERICO DE ALMEIDA,411,,CAMARGOS,CLODOALDO ANTONIO DE FARIA 48335711615,,POINT (-44.01400285534218 -19.941406366640425),Não
71341,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",31-10-2012,NÃO,EDUARDO LEITE BACURI,73,,ALTA TENSAO I,WELLINGTON PEREIRA PORTO 07313165684,,POINT (-43.9974951901735 -19.971508449923114),Não
71353,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",01-11-2012,NÃO,CECILIA PINTO,173,,SAO BERNARDO,CARLINDO AUGUSTO FERREIRA 90138740615,,POINT (-43.944852935990376 -19.846690307663398),Não
70431,RESTAURANTES E SIMILARES,02-10-2012,NÃO,PADRE JOSE MAURICIO,723,LOJA 2,VISTA ALEGRE,ADENICE APARECIDA DA SILVA 95701516687,,POINT (-43.995924352781714 -19.95444006960076),Não
70439,RESTAURANTES E SIMILARES,02-10-2012,NÃO,CRACOVIA,87,BRCAO,EUROPA,MARIA ALICE ALVES DE OLIVEIRA 27510034604,,POINT (-43.96750269318812 -19.79888724391193),Não
71368,RESTAURANTES E SIMILARES,02-11-2012,NÃO,OITO,63,LOJA,VISTA DO SOL,NEUZA DOMINGOS DA CUNHA 85877735691,,POINT (-43.89026388071285 -19.84836503800142),Não
15054,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, SEM ENTRETENIMENTO",01-04-2003,NÃO,ASTOLFO DUTRA,953,,VERA CRUZ,MARIA JOSE DE SOUSA PEREIRA,,POINT (-43.895872125027935 -19.907754591943693),Não
15059,RESTAURANTES E SIMILARES,29-04-2003,SIM,CONDE DE LINHARES,725,,CORACAO DE JESUS,RESTAURANTE E PIZZARIA LANINHO LTDA,,POINT (-43.9497878374945 -19.942386877703598),Não
15065,RESTAURANTES E SIMILARES,19-05-2003,SIM,CRISTOVAO COLOMBO,550,LOJA 00004,SAVASSI,PARREIRAS PRATES ALIMENTICIO LTDA,,POINT (-43.93706094043835 -19.935430331240724),Não
15073,RESTAURANTES E SIMILARES,11-03-2003,SIM,ARAGUARI,1443,LOJA 06,SANTO AGOSTINHO,FILIPE & SUEYD REFEICOES E LANCHES LTDA,ABROLHOS,POINT (-43.95153008651527 -19.931414418554414),Não
15355,RESTAURANTES E SIMILARES,05-08-2002,NÃO,CARANGOLA,358,,SANTO ANTONIO,TANUKI ALIMENTOS LTDA,,POINT (-43.942422197503745 -19.94263818600728),Não
15098,RESTAURANTES E SIMILARES,02-01-2003,SIM,MANOEL ELIAS DE AGUIAR,125,,OURO PRETO,OURO PRETO RECEPCOES E EVENTOS LTDA,LE PETIT EVENTOS,POINT (-43.98938246988199 -19.874609779841133),Não
15109,RESTAURANTES E SIMILARES,22-04-2002,SIM,ANTONIO DE ALBUQUERQUE,395,,SAVASSI,POINT BAIANO BAR E RESTAURANTE LTDA,,POINT (-43.93452758884322 -19.938500796081787),Não
15124,RESTAURANTES E SIMILARES,14-09-2001,NÃO,GETULIO VARGAS,286,"MZNINO,",FUNCIONARIOS,RESTAURANTE BRISTOL METROPOLITAN LTDA.,,POINT (-43.92686357786628 -19.933131293289826),Não
15956,RESTAURANTES E SIMILARES,22-04-2003,SIM,AUGUSTO DE LIMA,744,LOJA 04 06,CENTRO,CHOPERIA BOM GRILL LTDA,,POINT (-43.9433329041324 -19.923021512307454),Não
